Year,Month,CO2 (ppm)
1969,8,322.51
1969,9,321.36
1969,10,320.74
1969,11,321.98
1969,12,323.78
1970,1,325.13
1970,2,325.55
1970,3,325.67
1970,4,326.58
1970,5,327.69
1970,6,327.3
1970,7,326.12
1970,8,324.91
1970,9,322.99
1970,10,322.64
1970,11,324.03
1970,12,325.54
1976,7,332.29
1976,8,331.04
1976,9,329.67
1976,10,329.33
1976,11,330.47
1976,12,331.97
1977,1,332.77
1977,2,333.1
1977,3,334.07
1977,4,335.78
1977,5,336.49
1977,6,335.97
1977,7,334.63
1977,8,332.31
1977,9,330.66
1977,10,330.55
1977,11,331.73
1977,12,333.75
1978,1,335.17
1978,2,335.78
1978,3,336.7
1978,4,337.77
1978,5,338.02
1978,6,337.58
1978,7,336.17
1978,8,333.89
1978,9,332.19
1978,10,332.2
1978,11,333.24
1978,12,334.64
1979,1,336.12
1979,2,337.21
1979,3,338.51
1979,4,339.0
1979,5,338.93
1979,6,338.97
1979,7,337.78
1979,8,335.57
1979,9,333.94
1979,10,334.41
1979,11,335.66
1979,12,336.81
1980,1,338.94
1980,2,340.32
1980,3,341.47
1980,4,342.88
1980,5,342.91
1980,6,341.74
1980,7,339.15
1980,8,337.04
1980,9,336.6
1980,10,336.6
1980,11,337.55
1980,12,339.17
1981,1,340.45
1981,2,341.48
1981,3,342.39
1981,4,343.42
1981,5,343.69
1981,6,342.49
1981,7,340.53
1981,8,338.8
1981,9,337.48
1981,10,337.63
1981,11,339.0
1981,12,340.32
1982,1,341.21
1982,2,342.1
1982,3,343.13
1982,4,343.92
1982,5,343.86
1982,6,342.96
1982,7,341.55
1982,8,339.34
1982,9,337.41
1982,10,337.73
1982,11,339.13
1982,12,340.75
1983,1,342.05
1983,2,342.46
1983,3,343.21
1983,4,345.21
1983,5,346.19
1983,6,345.39
1983,7,343.61
1983,8,341.29
1983,9,339.86
1983,10,340.06
1983,11,341.23
1983,12,342.82
1984,1,344.03
1984,2,344.69
1984,3,345.62
1984,4,346.91
1984,5,347.49
1984,6,346.73
1984,7,345.2
1984,8,342.96
1984,9,341.4
1984,10,341.79
1984,11,343.08
1984,12,343.99
1985,1,344.68
1985,2,345.74
1985,3,346.95
1985,4,347.89
1985,5,348.67
1985,6,348.29
1985,7,346.29
1985,8,343.99
1985,9,342.88
1985,10,342.94
1985,11,344.14
1985,12,345.4
1986,1,346.2
1986,2,346.71
1986,3,347.78
1986,4,349.38
1986,5,350.05
1986,6,349.16
1986,7,347.14
1986,8,345.34
1986,9,344.13
1986,10,343.89
1986,11,345.45
1986,12,346.92
1987,1,347.59
1987,2,348.33
1987,3,349.34
1987,4,350.82
1987,5,351.85
1987,6,351.47
1987,7,349.69
1987,8,347.54
1987,9,346.51
1987,10,346.87
1987,11,348.16
1987,12,349.46
1988,1,350.33
1988,2,351.39
1988,3,352.56
1988,4,353.75
1988,5,354.38
1988,6,353.86
1988,7,352.36
1988,8,350.16
1988,9,348.81
1988,10,349.12
1988,11,350.13
1988,12,351.58
1989,1,352.71
1989,2,353.11
1989,3,353.91
1989,4,355.48
1989,5,356.1
1989,6,355.37
1989,7,353.94
1989,8,351.4
1989,9,349.56
1989,10,349.94
1989,11,351.57
1989,12,352.91
1990,1,354.08
1990,2,355.18
1990,3,355.97
1990,4,356.78
1990,5,357.25
1990,6,356.4
1990,7,354.6
1990,8,352.51
1990,9,351.28
1990,10,351.6
1990,11,353.18
1990,12,354.74
1991,1,355.32
1991,2,356.19
1991,3,357.64
1991,4,358.77
1991,5,359.45
1991,6,358.38
1991,7,355.96
1991,8,353.92
1991,9,352.52
1991,10,352.62
1991,11,354.09
1991,12,355.54
1992,1,356.74
1992,2,357.39
1992,3,358.23
1992,4,359.28
1992,5,360.05
1992,6,359.59
1992,7,357.27
1992,8,355.13
1992,9,353.79
1992,10,353.66
1992,11,354.73
1992,12,356.08
1993,1,356.92
1993,2,357.51
1993,3,358.36
1993,4,359.67
1993,5,360.59
1993,6,359.8
1993,7,357.85
1993,8,355.65
1993,9,353.95
1993,10,354.31
1993,11,355.52
1993,12,357.02
1994,1,358.41
1994,2,358.99
1994,3,359.82
1994,4,361.17
1994,5,361.87
1994,6,360.97
1994,7,359.06
1994,8,357.07
1994,9,355.45
1994,10,355.68
1994,11,357.61
1994,12,359.67
1995,1,360.35
1995,2,360.74
1995,3,361.96
1995,4,363.07
1995,5,363.78
1995,6,363.42
1995,7,361.49
1995,8,359.31
1995,9,358.19
1995,10,358.23
1995,11,359.58
1995,12,361.15
1996,1,362.23
1996,2,363.34
1996,3,364.31
1996,4,364.93
1996,5,365.49
1996,6,365.27
1996,7,363.65
1996,8,361.27
1996,9,359.44
1996,10,359.52
1996,11,361.06
1996,12,362.16
1997,1,363.21
1997,2,364.04
1997,3,365.06
1997,4,366.71
1997,5,366.82
1997,6,365.64
1997,7,364.23
1997,8,362.3
1997,9,360.64
1997,10,360.85
1997,11,362.67
1997,12,364.3
1998,1,365.41
1998,2,366.2
1998,3,367.27
1998,4,368.81
1998,5,369.56
1998,6,369.14
1998,7,367.89
1998,8,365.89
1998,9,364.29
1998,10,364.29
1998,11,365.76
1998,12,367.68
1999,1,368.52
1999,2,368.79
1999,3,369.92
1999,4,371.06
1999,5,371.07
1999,6,370.59
1999,7,369.31
1999,8,367.11
1999,9,365.27
1999,10,365.58
1999,11,366.97
1999,12,368.51
2000,1,369.76
2000,2,370.28
2000,3,371.0
2000,4,371.95
2000,5,372.05
2000,6,371.52
2000,7,370.2
2000,8,368.23
2000,9,367.01
2000,10,367.26
2000,11,368.51
2000,12,369.75
2001,1,370.88
2001,2,371.98
2001,3,373.0
2001,4,373.86
2001,5,374.36
2001,6,373.54
2001,7,371.51
2001,8,369.57
2001,9,368.34
2001,10,368.6
2001,11,370.29
2001,12,371.59
2002,1,372.34
2002,2,373.11
2002,3,374.08
2002,4,374.96
2002,5,375.68
2002,6,375.72
2002,7,374.03
2002,8,371.36
2002,9,369.89
2002,10,370.62
2002,11,372.57
2002,12,373.82
2003,1,374.8
2003,2,375.95
2003,3,376.99
2003,4,378.26
2003,5,379.06
2003,6,378.44
2003,7,376.7
2003,8,374.71
2003,9,373.14
2003,10,373.31
2003,11,375.03
2003,12,376.21
2004,1,377.02
2004,2,377.99
2004,3,379.63
2004,4,380.91
2004,5,380.94
2004,6,379.77
2004,7,377.51
2004,8,375.71
2004,9,374.39
2004,10,374.71
2004,11,376.41
2004,12,377.77
2005,1,378.74
2005,2,380.36
2005,3,381.91
2005,4,382.3
2005,5,382.65
2005,6,382.4
2005,7,380.94
2005,8,378.79
2005,9,376.96
2005,10,377.22
2005,11,378.82
2005,12,380.27
2006,1,381.4
2006,2,382.1
2006,3,383.01
2006,4,384.9
2006,5,385.6
2006,6,384.24
2006,7,382.46
2006,8,380.23
2006,9,378.9
2006,10,379.31
2006,11,380.59
2006,12,382.0
2007,1,383.47
2007,2,384.63
2007,3,385.6
2007,4,386.7
2007,5,387.1
2007,6,386.53
2007,7,384.75
2007,8,381.86
2007,9,380.53
2007,10,381.37
2007,11,382.86
2007,12,384.29
2008,1,385.76
2008,2,385.94
2008,3,385.8
2008,4,387.28
2008,5,388.93
2008,6,388.69
2008,7,386.88
2008,8,384.47
2008,9,383.0
2008,10,383.12
2008,11,384.34
2008,12,385.88
2009,1,387.2
2009,2,387.95
2009,3,388.63
2009,4,389.55
2009,5,390.34
2009,6,389.75
2009,7,387.92
2009,8,386.05
2009,9,384.64
2009,10,384.79
2009,11,386.19
2009,12,387.71
2010,1,388.79
2010,2,389.92
2010,3,391.27
2010,4,392.79
2010,5,393.57
2010,6,392.45
2010,7,390.27
2010,8,388.17
2010,9,386.74
2010,10,387.39
2010,11,388.74
2010,12,390.23
2011,1,391.74
2011,2,392.32
2011,3,392.82
2011,4,393.88
2011,5,394.46
2011,6,393.99
2011,7,392.54
2011,8,390.15
2011,9,388.78
2011,10,389.33
2011,11,390.64
2011,12,392.34
2012,1,393.18
2012,2,393.42
2012,3,394.82
2012,4,396.73
2012,5,397.16
2012,6,396.04
2012,7,394.46
2012,8,392.41
2012,9,391.05
2012,10,391.31
2012,11,393.26
2012,12,394.84
2013,1,395.85
2013,2,397.0
2013,3,397.94
2013,4,398.9
2013,5,399.81
2013,6,399.35
2013,7,397.39
2013,8,395.21
2013,9,393.92
2013,10,394.06
2013,11,395.64
2013,12,397.24
2014,1,398.12
2014,2,398.55
2014,3,399.98
2014,4,401.86
2014,5,402.45
2014,6,401.6
2014,7,399.17
2014,8,396.74
2014,9,395.56
2014,10,395.89
2014,11,397.73
2014,12,399.49
2015,1,400.29
2015,2,400.62
2015,3,401.82
2015,4,403.91
2015,5,404.37
2015,6,403.13
2015,7,401.16
2015,8,399.14
2015,9,397.89
2015,10,398.46
2015,11,400.19
2015,12,401.76
2016,1,402.95
2016,2,403.86
2016,3,405.46
2016,4,407.58
2016,5,408.12
2016,6,406.82
2016,7,404.6
2016,8,401.91
2016,9,400.44
2016,10,401.69
2016,11,403.74
2016,12,404.9
2017,1,405.79
2017,2,406.51
2017,3,407.57
2017,4,409.22
2017,5,410.0
2017,6,408.94
2017,7,407.18
2017,8,405.09
2017,9,403.33
2017,10,403.66
2017,11,405.46
2017,12,406.9
2018,1,408.1
2018,2,408.83
2018,3,409.57
2018,4,411.03
2018,5,411.71
2018,6,410.72
2018,7,409.28
2018,8,407.29
2018,9,405.71
2018,10,406.33
2018,11,408.23
2018,12,409.46
2019,1,410.77
2019,2,411.84
2019,3,412.24
2019,4,413.46
2019,5,414.98
2019,6,414.3
2019,7,411.92
2019,8,409.75
2019,9,408.74
2019,10,408.93
2019,11,410.29
2019,12,411.99
2020,1,413.37
2020,2,413.85
2020,3,414.56
2020,4,416.03
2020,5,417.21
2020,6,416.79
2020,7,414.59
2020,8,412.49
2020,9,411.51
2020,10,411.52
2020,11,412.55
2020,12,414.1
2021,1,415.51
2021,2,416.35
2021,3,417.51
2021,4,419.1
2021,5,419.22
2021,6,418.41
2021,7,416.73
2021,8,414.35
2021,9,413.18
2021,10,413.76
2021,11,414.92
2021,12,416.7
2022,1,418.38
2022,2,419.08
2022,3,419.17
2022,4,420.1
2022,5,421.21
2022,6,420.89
2022,7,418.96
2022,8,416.92
2022,9,415.56
2022,10,415.57
2022,11,417.45
2022,12,419.23
2023,1,419.66
2023,2,419.94
2023,3,421.06
2023,4,423.07
2023,5,424.41
2023,6,423.47
2023,7,421.33
2023,8,419.7
2023,9,418.84
2023,10,418.74
2023,11,419.85
2023,12,421.63
